res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
18628316,Echidna Restobrew,['Casual Dining'],https://www.zomato.com/indore/echidna-restobrew-by-pass-road-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Bicholi Mardana Road, Near Agrawal Public School, By Pass Road (North), Indore",Indore,14,By Pass Road (North),22.70342012,75.92138864,,1,"By Pass Road (North), Indore","Mediterranean, Asian, North Indian",12noon – 11:30pm (Mon-Sun),1300,3,Rs.,"['Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Dinner', 'Fullbar', 'Air Conditioned', 'Wifi', 'Indoor Seating', 'Table Reservation Not Required', 'Smoking Area']",3.5,Good,363,154,0,-1,-1
18901299,Quenchyard,['Casual Dining'],https://www.zomato.com/indore/quenchyard-by-pass-road-south?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"84/3/1, Barsana Garden, Opposite Akash Hospital, Bicholi Mardana, By Pass Road (South), Indore",Indore,14,By Pass Road (South),22.70234345,75.92106812,,1,"By Pass Road (South), Indore","North Indian, Chinese",11:30 AM to 12 Midnight,1300,3,Rs.,"['Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Rooftop', 'Available for Functions', 'Wifi', 'Buffet', 'DJ', 'Free Parking', 'Live Entertainment', 'Nightlife', 'Outdoor Seating', 'Live Music', 'Serves Cocktails', 'Digital Payments Accepted', 'Air Conditioned', 'Smoking Area', 'Brunch', 'Dance Floor', 'Karaoke', 'Live Sports Screening', 'Valet Parking Available', 'Wine', 'Indoor Seating']",4.1,Very Good,136,90,0,-1,-1
1401521,The Cliff Restaurant & Bar,['Casual Dining'],https://www.zomato.com/indore/the-cliff-restaurant-bar-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot 57, PU-4, Behind C 21 Mall, Vijay Nagar, Indore",Indore,14,Vijay Nagar,22.74372397,75.89740802,452010,1,"Vijay Nagar, Indore","North Indian, Chinese",12noon – 3am (Mon-Sun),1300,3,Rs.,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Delivery', 'Credit Card', 'Nightlife', 'Indoor Seating', 'Table booking recommended', 'Fullbar', 'Air Conditioned']",2.5,Average,98,56,0,1,-1
1402841,Zest - Papaya Tree Hotel,['Casual Dining'],https://www.zomato.com/indore/zest-papaya-tree-hotel-rau?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Papaya Tree Hotel, Rau Bypass Square A.B. Road, Rau, Indore",Indore,14,Papaya Tree Hotel,22.62658152,75.80537673,452001,1,"Papaya Tree Hotel, Indore","North Indian, Chinese, Italian",8am – 3am (Mon-Sun),1300,3,Rs.,"['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Serves Alcohol', 'Delivery', 'Credit Card', 'Debit Card', 'Table booking recommended', 'Valet Parking Available', 'Indoor Seating', 'Digital Payments Accepted']",3.8,Good,142,28,0,-1,-1
1400283,Salt and Pepper,['Casual Dining'],https://www.zomato.com/indore/salt-and-pepper-press-complex?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Amar Vilas, 1, Chandra Nagar, AB Road, Press Complex, Indore",Indore,14,"Hotel Amar Vilas, Press Complex",22.74170329,75.89275874,,1,"Hotel Amar Vilas, Press Complex, Indore","North Indian, Chinese, Continental",6:30am – 11pm (Mon-Sun),1300,3,Rs.,"['Lunch', 'Serves Alcohol', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Buffet', 'Fullbar', 'Air Conditioned', 'Indoor Seating', 'Table booking recommended']",3.4,Average,78,77,0,-1,-1
1401158,Couple Lounge,['Casual Dining'],https://www.zomato.com/indore/couple-lounge-press-complex?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Amar Vilas, 1, Chandra Nagar, A.B. Road, Press Complex, Indore",Indore,14,"Hotel Amar Vilas, Press Complex",22.7417339,75.89273728,,1,"Hotel Amar Vilas, Press Complex, Indore","North Indian, Chinese, Continental",6:30am – 11pm (Mon-Sun),1300,3,Rs.,"['Serves Alcohol', 'Credit Card', 'Dinner', 'Debit Card', 'Takeaway Available', 'Lunch', 'Cash', 'Air Conditioned', 'Fullbar', 'Indoor Seating']",3.7,Good,65,12,0,-1,-1
18889326,Jonathan's Grill & Barbeque,['Casual Dining'],https://www.zomato.com/indore/jonathans-grill-barbeque-by-pass-road-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Royal Garha Golf Club, Golf Greens Golf Course, Kanadia Main Rd, Indore, Madhya Pradesh 452001",Indore,14,By Pass Road (North),22.71445324,75.93053263,,1,"By Pass Road (North), Indore","North Indian, BBQ","6pm – 11pm (Mon-Fri),11am – 11pm (Sat-Sun)",1300,3,Rs.,"['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned']",3.8,Good,24,38,0,-1,-1
1401346,White House,['Casual Dining'],https://www.zomato.com/indore/white-house-old-palasia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"LG-8, Rafeal Tower, Old Palasia, Indore",Indore,14,Old Palasia,22.72526342,75.89405291,,1,"Old Palasia, Indore","North Indian, Chinese",11 AM to 11 PM (Mon-Sun),1300,3,Rs.,"['Serves Alcohol', 'Takeaway Available', 'Debit Card', 'Lunch', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Table Reservation Not Required', 'Smoking Area', 'Free Parking', 'Air Conditioned', 'Indoor Seating']",3.4,Average,48,10,0,-1,-1
1401513,Boozer's Bar,['Bar'],https://www.zomato.com/indore/boozers-bar-2-sudama-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"525, CAT Main Road, Opposite Hawa Bangla, Chatarapti Shivaji Sector, Indore, Sudama Nagar, Indore",Indore,14,Sudama Nagar,22.68351385,75.83481364,,1,"Sudama Nagar, Indore","North Indian, Chinese",11 AM to 11 PM (Mon-Sun),1300,3,Rs.,"['Debit Card', 'Serves Alcohol', 'Lunch', 'Takeaway Available', 'Credit Card', 'Dinner', 'Cash', 'Delivery', 'Nightlife', 'Fullbar', 'Beer', 'Rooftop', 'Air Conditioned', 'Smoking Area', 'Gin Bar', 'Wine', 'Indoor Seating', 'Serves Cocktails']",3.3,Average,27,35,0,-1,-1
18944145,Sapna Bar And Restaurant,['Casual Dining'],https://www.zomato.com/indore/sapna-bar-and-restaurant-mari-mata-square?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"135, Banganaga Main Road, Near Betab Gents Parlour, Freeganj, Mari Mata Square, Indore",Indore,14,Mari Mata Square,22.72710406,75.84136527,,1,"Mari Mata Square, Indore",North Indian,10 AM to 11 PM,1300,3,Rs.,"['Credit Card', 'Debit Card', 'Lunch', 'Delivery', 'Takeaway Available', 'Dinner', 'Cash', 'Live Entertainment', 'Live Music', 'Table Reservation Not Required', 'Buffet', 'Fullbar', 'Indoor Seating']",3,Average,6,0,0,-1,-1
1401637,The Cube - Hotel Effotel,['Casual Dining'],https://www.zomato.com/indore/the-cube-hotel-effotel-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Effotel, Plot 10-C/CA, Scheme 94, Vijay Nagar, Indore",Indore,14,"Hotel Effotel, Vijay Nagar",22.75003751,75.90347484,,1,"Hotel Effotel, Vijay Nagar, Indore","North Indian, Chinese, Italian",6:30 AM to 11:30 PM,1200,3,Rs.,"['Dinner', 'Takeaway Available', 'Breakfast', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Table booking recommended', 'Buffet']",4.8,Excellent,518,431,0,-1,-1
18713037,Tic Tac Toe,['Bar'],https://www.zomato.com/indore/tic-tac-toe-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot 64-65, Floor 1, Girirag Grande, Scheme 54, Vijay Nagar, Indore",Indore,14,Vijay Nagar,22.75577104,75.89530483,452001,1,"Vijay Nagar, Indore","North Indian, Chinese, Fast Food",12noon – 11:29pm (Mon-Sun),1200,3,Rs.,"['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Dance Floor', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Serves Cocktails', 'Table booking recommended', 'Resto Bar', 'Private Dining Area Available', 'Wifi', 'Live Entertainment', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Entry Fee', 'Air Conditioned', 'Smoking Area']",4.4,Very Good,418,273,0,-1,-1
